Generating SQLite file nsys_reports/qwen3_fp4_v5.sqlite from nsys_reports/qwen3_fp4_v5.nsys-rep
Processing [nsys_reports/qwen3_fp4_v5.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-sbsa-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)   Style               Range             
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -----------  -------  ------------------------------
     16.3      294,920,384          1  294,920,384.0  294,920,384.0  294,920,384  294,920,384          0.0  PushPop  :decode_step14_tokens49       
     16.3      294,741,184          1  294,741,184.0  294,741,184.0  294,741,184  294,741,184          0.0  PushPop  :prefill_step13_tokens2048    
     13.8      248,693,376          1  248,693,376.0  248,693,376.0  248,693,376  248,693,376          0.0  PushPop  :prefill_step12_tokens2048    
     12.4      223,172,224          1  223,172,224.0  223,172,224.0  223,172,224  223,172,224          0.0  PushPop  :decode_step0_tokens64        
     11.5      207,091,024          1  207,091,024.0  207,091,024.0  207,091,024  207,091,024          0.0  PushPop  :prefill_step11_tokens2048    
      5.2       93,211,104          1   93,211,104.0   93,211,104.0   93,211,104   93,211,104          0.0  PushPop  :decode_step1_tokens1         
      1.8       32,981,264          1   32,981,264.0   32,981,264.0   32,981,264   32,981,264          0.0  PushPop  :prefill_step10_tokens2048    
      1.7       31,315,712          1   31,315,712.0   31,315,712.0   31,315,712   31,315,712          0.0  PushPop  :decode_step141_tokens3       
      0.6       10,090,064          1   10,090,064.0   10,090,064.0   10,090,064   10,090,064          0.0  PushPop  :decode_step15_tokens4        
      0.5        8,855,680        192       46,123.3        7,944.0        7,168    7,219,424    520,401.0  PushPop  CCCL:cub::DeviceSelect::Unique
      0.4        7,259,760          1    7,259,760.0    7,259,760.0    7,259,760    7,259,760          0.0  PushPop  :decode_step139_tokens4       
      0.3        4,980,688          1    4,980,688.0    4,980,688.0    4,980,688    4,980,688          0.0  PushPop  :decode_step36_tokens4        
      0.3        4,890,432          1    4,890,432.0    4,890,432.0    4,890,432    4,890,432          0.0  PushPop  :decode_step138_tokens4       
      0.3        4,550,176          1    4,550,176.0    4,550,176.0    4,550,176    4,550,176          0.0  PushPop  :decode_step5_tokens1         
      0.3        4,541,280          1    4,541,280.0    4,541,280.0    4,541,280    4,541,280          0.0  PushPop  :decode_step96_tokens4        
      0.3        4,536,992          1    4,536,992.0    4,536,992.0    4,536,992    4,536,992          0.0  PushPop  :decode_step128_tokens4       
      0.3        4,529,056          1    4,529,056.0    4,529,056.0    4,529,056    4,529,056          0.0  PushPop  :decode_step4_tokens1         
      0.3        4,527,936          1    4,527,936.0    4,527,936.0    4,527,936    4,527,936          0.0  PushPop  :decode_step120_tokens4       
      0.2        4,503,152          1    4,503,152.0    4,503,152.0    4,503,152    4,503,152          0.0  PushPop  :decode_step7_tokens1         
      0.2        4,283,472          1    4,283,472.0    4,283,472.0    4,283,472    4,283,472          0.0  PushPop  :decode_step53_tokens4        
      0.2        4,283,184          1    4,283,184.0    4,283,184.0    4,283,184    4,283,184          0.0  PushPop  :decode_step123_tokens4       
      0.2        4,272,720          1    4,272,720.0    4,272,720.0    4,272,720    4,272,720          0.0  PushPop  :decode_step129_tokens4       
      0.2        4,253,600          1    4,253,600.0    4,253,600.0    4,253,600    4,253,600          0.0  PushPop  :decode_step130_tokens4       
      0.2        4,231,168          1    4,231,168.0    4,231,168.0    4,231,168    4,231,168          0.0  PushPop  :decode_step137_tokens4       
      0.2        4,170,192          1    4,170,192.0    4,170,192.0    4,170,192    4,170,192          0.0  PushPop  :decode_step127_tokens4       
      0.2        4,169,296          1    4,169,296.0    4,169,296.0    4,169,296    4,169,296          0.0  PushPop  :decode_step136_tokens4       
      0.2        4,124,944          1    4,124,944.0    4,124,944.0    4,124,944    4,124,944          0.0  PushPop  :decode_step125_tokens4       
