
 ** NVTX Range Summary (nvtx_sum):

+----------+-----------------+-----------+---------------+---------------+-------------+-------------+-------------+---------+----------------------------+
| Time (%) | Total Time (ns) | Instances |   Avg (ns)    |   Med (ns)    |  Min (ns)   |  Max (ns)   | StdDev (ns) |  Style  |           Range            |
+----------+-----------------+-----------+---------------+---------------+-------------+-------------+-------------+---------+----------------------------+
|      5.2 |     305,004,032 |         1 | 305,004,032.0 | 305,004,032.0 | 305,004,032 | 305,004,032 |         0.0 | PushPop | :prefill_step13_tokens2048 |
|      4.8 |     283,805,488 |         1 | 283,805,488.0 | 283,805,488.0 | 283,805,488 | 283,805,488 |         0.0 | PushPop | :decode_step14_tokens49    |
|      4.4 |     260,739,376 |         1 | 260,739,376.0 | 260,739,376.0 | 260,739,376 | 260,739,376 |         0.0 | PushPop | :prefill_step12_tokens2048 |
|      3.3 |     196,276,560 |         1 | 196,276,560.0 | 196,276,560.0 | 196,276,560 | 196,276,560 |         0.0 | PushPop | :prefill_step11_tokens2048 |
|      1.2 |      73,703,216 |         1 |  73,703,216.0 |  73,703,216.0 |  73,703,216 |  73,703,216 |         0.0 | PushPop | :prefill_step10_tokens2048 |
|      1.2 |      73,692,400 |         1 |  73,692,400.0 |  73,692,400.0 |  73,692,400 |  73,692,400 |         0.0 | PushPop | :decode_step1036_tokens4   |
|      0.3 |      15,845,136 |         1 |  15,845,136.0 |  15,845,136.0 |  15,845,136 |  15,845,136 |         0.0 | PushPop | :decode_step152_tokens4    |
|      0.2 |      13,528,480 |         1 |  13,528,480.0 |  13,528,480.0 |  13,528,480 |  13,528,480 |         0.0 | PushPop | :decode_step941_tokens4    |
|      0.2 |      13,277,568 |         1 |  13,277,568.0 |  13,277,568.0 |  13,277,568 |  13,277,568 |         0.0 | PushPop | :decode_step904_tokens4    |
|      0.2 |      12,812,400 |         1 |  12,812,400.0 |  12,812,400.0 |  12,812,400 |  12,812,400 |         0.0 | PushPop | :decode_step792_tokens4    |
|      0.2 |      12,612,080 |         1 |  12,612,080.0 |  12,612,080.0 |  12,612,080 |  12,612,080 |         0.0 | PushPop | :decode_step642_tokens4    |
|      0.2 |      11,550,096 |         1 |  11,550,096.0 |  11,550,096.0 |  11,550,096 |  11,550,096 |         0.0 | PushPop | :decode_step492_tokens4    |
|      0.2 |      11,246,720 |         1 |  11,246,720.0 |  11,246,720.0 |  11,246,720 |  11,246,720 |         0.0 | PushPop | :decode_step978_tokens4    |
|      0.2 |      10,926,112 |         1 |  10,926,112.0 |  10,926,112.0 |  10,926,112 |  10,926,112 |         0.0 | PushPop | :decode_step679_tokens4    |
|      0.2 |      10,848,864 |         1 |  10,848,864.0 |  10,848,864.0 |  10,848,864 |  10,848,864 |         0.0 | PushPop | :decode_step529_tokens4    |
|      0.2 |      10,589,792 |         1 |  10,589,792.0 |  10,589,792.0 |  10,589,792 |  10,589,792 |         0.0 | PushPop | :decode_step754_tokens4    |
|      0.2 |      10,484,192 |         1 |  10,484,192.0 |  10,484,192.0 |  10,484,192 |  10,484,192 |         0.0 | PushPop | :decode_step379_tokens4    |
|      0.2 |      10,431,376 |         1 |  10,431,376.0 |  10,431,376.0 |  10,431,376 |  10,431,376 |         0.0 | PushPop | :decode_step1015_tokens4   |
|      0.2 |      10,062,752 |         1 |  10,062,752.0 |  10,062,752.0 |  10,062,752 |  10,062,752 |         0.0 | PushPop | :decode_step829_tokens4    |
|      0.2 |       9,978,784 |         1 |   9,978,784.0 |   9,978,784.0 |   9,978,784 |   9,978,784 |         0.0 | PushPop | :decode_step341_tokens4    |
|      0.2 |       9,626,192 |         1 |   9,626,192.0 |   9,626,192.0 |   9,626,192 |   9,626,192 |         0.0 | PushPop | :decode_step454_tokens4    |
|      0.2 |       9,531,248 |         1 |   9,531,248.0 |   9,531,248.0 |   9,531,248 |   9,531,248 |         0.0 | PushPop | :decode_step190_tokens4    |
|      0.2 |       9,368,528 |         1 |   9,368,528.0 |   9,368,528.0 |   9,368,528 |   9,368,528 |         0.0 | PushPop | :decode_step604_tokens4    |
|      0.2 |       8,940,592 |         1 |   8,940,592.0 |   8,940,592.0 |   8,940,592 |   8,940,592 |         0.0 | PushPop | :decode_step916_tokens4    |
|      0.1 |       8,849,360 |         1 |   8,849,360.0 |   8,849,360.0 |   8,849,360 |   8,849,360 |         0.0 | PushPop | :decode_step416_tokens4    |
|      0.1 |       8,807,728 |         1 |   8,807,728.0 |   8,807,728.0 |   8,807,728 |   8,807,728 |         0.0 | PushPop | :decode_step566_tokens4    |
|      0.1 |       8,807,024 |         1 |   8,807,024.0 |   8,807,024.0 |   8,807,024 |   8,807,024 |         0.0 | PushPop | :decode_step266_tokens4    |
|      0.1 |       8,667,184 |         1 |   8,667,184.0 |   8,667,184.0 |   8,667,184 |   8,667,184 |         0.0 | PushPop | :decode_step304_tokens4    |
|      0.1 |       8,302,528 |         1 |   8,302,528.0 |   8,302,528.0 |   8,302,528 |   8,302,528 |         0.0 | PushPop | :decode_step866_tokens4    |
|      0.1 |       8,031,264 |         1 |   8,031,264.0 |   8,031,264.0 |   8,031,264 |   8,031,264 |         0.0 | PushPop | :decode_step942_tokens4    |
|      0.1 |       7,695,152 |         1 |   7,695,152.0 |   7,695,152.0 |   7,695,152 |   7,695,152 |         0.0 | PushPop | :decode_step716_tokens4    |
|      0.1 |       7,545,232 |         1 |   7,545,232.0 |   7,545,232.0 |   7,545,232 |   7,545,232 |         0.0 | PushPop | :decode_step937_tokens4    |
|      0.1 |       7,391,968 |         1 |   7,391,968.0 |   7,391,968.0 |   7,391,968 |   7,391,968 |         0.0 | PushPop | :decode_step1016_tokens4   |
|      0.1 |       7,386,832 |         1 |   7,386,832.0 |   7,386,832.0 |   7,386,832 |   7,386,832 |         0.0 | PushPop | :decode_step867_tokens4    |
|      0.1 |       7,382,768 |         1 |   7,382,768.0 |   7,382,768.0 |   7,382,768 |   7,382,768 |         0.0 | PushPop | :decode_step680_tokens4    |
|      0.1 |       7,270,048 |         1 |   7,270,048.0 |   7,270,048.0 |   7,270,048 |   7,270,048 |         0.0 | PushPop | :decode_step567_tokens4    |
|      0.1 |       7,151,328 |         1 |   7,151,328.0 |   7,151,328.0 |   7,151,328 |   7,151,328 |         0.0 | PushPop | :decode_step755_tokens4    |
|      0.1 |       7,094,048 |         1 |   7,094,048.0 |   7,094,048.0 |   7,094,048 |   7,094,048 |         0.0 | PushPop | :decode_step605_tokens4    |
|      0.1 |       7,047,792 |         1 |   7,047,792.0 |   7,047,792.0 |   7,047,792 |   7,047,792 |         0.0 | PushPop | :decode_step380_tokens4    |
|      0.1 |       7,046,672 |         1 |   7,046,672.0 |   7,046,672.0 |   7,046,672 |   7,046,672 |         0.0 | PushPop | :decode_step191_tokens4    |
|      0.1 |       7,013,136 |         1 |   7,013,136.0 |   7,013,136.0 |   7,013,136 |   7,013,136 |         0.0 | PushPop | :decode_step267_tokens4    |
|      0.1 |       7,006,208 |         1 |   7,006,208.0 |   7,006,208.0 |   7,006,208 |   7,006,208 |         0.0 | PushPop | :decode_step979_tokens4    |
|      0.1 |       6,994,752 |         1 |   6,994,752.0 |   6,994,752.0 |   6,994,752 |   6,994,752 |         0.0 | PushPop | :decode_step229_tokens4    |
|      0.1 |       6,970,560 |         1 |   6,970,560.0 |   6,970,560.0 |   6,970,560 |   6,970,560 |         0.0 | PushPop | :decode_step417_tokens4    |
