
 ** NVTX Range Summary (nvtx_sum):

+----------+-----------------+-----------+-----------------+-----------------+---------------+---------------+-------------+---------+----------------------------+
| Time (%) | Total Time (ns) | Instances |    Avg (ns)     |    Med (ns)     |   Min (ns)    |   Max (ns)    | StdDev (ns) |  Style  |           Range            |
+----------+-----------------+-----------+-----------------+-----------------+---------------+---------------+-------------+---------+----------------------------+
|     19.3 |   1,092,366,640 |         1 | 1,092,366,640.0 | 1,092,366,640.0 | 1,092,366,640 | 1,092,366,640 |         0.0 | PushPop | :decode_step14_tokens49    |
|      6.7 |     378,021,424 |         1 |   378,021,424.0 |   378,021,424.0 |   378,021,424 |   378,021,424 |         0.0 | PushPop | :prefill_step13_tokens2048 |
|      6.0 |     338,910,064 |         1 |   338,910,064.0 |   338,910,064.0 |   338,910,064 |   338,910,064 |         0.0 | PushPop | :prefill_step12_tokens2048 |
|      5.1 |     289,041,568 |         1 |   289,041,568.0 |   289,041,568.0 |   289,041,568 |   289,041,568 |         0.0 | PushPop | :prefill_step11_tokens2048 |
|      1.6 |      90,076,192 |         1 |    90,076,192.0 |    90,076,192.0 |    90,076,192 |    90,076,192 |         0.0 | PushPop | :decode_step1036_tokens4   |
|      0.5 |      30,612,816 |         1 |    30,612,816.0 |    30,612,816.0 |    30,612,816 |    30,612,816 |         0.0 | PushPop | :prefill_step10_tokens2048 |
|      0.3 |      14,690,352 |         1 |    14,690,352.0 |    14,690,352.0 |    14,690,352 |    14,690,352 |         0.0 | PushPop | :decode_step189_tokens4    |
|      0.2 |      10,264,288 |         1 |    10,264,288.0 |    10,264,288.0 |    10,264,288 |    10,264,288 |         0.0 | PushPop | :decode_step946_tokens4    |
|      0.2 |      10,185,632 |         1 |    10,185,632.0 |    10,185,632.0 |    10,185,632 |    10,185,632 |         0.0 | PushPop | :decode_step786_tokens4    |
|      0.2 |      10,077,520 |         1 |    10,077,520.0 |    10,077,520.0 |    10,077,520 |    10,077,520 |         0.0 | PushPop | :decode_step1025_tokens4   |
|      0.2 |       8,792,624 |         1 |     8,792,624.0 |     8,792,624.0 |     8,792,624 |     8,792,624 |         0.0 | PushPop | :decode_step866_tokens4    |
|      0.2 |       8,729,552 |         1 |     8,729,552.0 |     8,729,552.0 |     8,729,552 |     8,729,552 |         0.0 | PushPop | :decode_step705_tokens4    |
|      0.2 |       8,712,592 |         1 |     8,712,592.0 |     8,712,592.0 |     8,712,592 |     8,712,592 |         0.0 | PushPop | :decode_step813_tokens4    |
|      0.1 |       8,406,304 |         1 |     8,406,304.0 |     8,406,304.0 |     8,406,304 |     8,406,304 |         0.0 | PushPop | :decode_step435_tokens4    |
|      0.1 |       8,208,768 |         1 |     8,208,768.0 |     8,208,768.0 |     8,208,768 |     8,208,768 |         0.0 | PushPop | :decode_step516_tokens4    |
|      0.1 |       8,098,272 |         1 |     8,098,272.0 |     8,098,272.0 |     8,098,272 |     8,098,272 |         0.0 | PushPop | :decode_step381_tokens4    |
|      0.1 |       7,531,584 |         1 |     7,531,584.0 |     7,531,584.0 |     7,531,584 |     7,531,584 |         0.0 | PushPop | :decode_step272_tokens4    |
|      0.1 |       7,398,768 |         1 |     7,398,768.0 |     7,398,768.0 |     7,398,768 |     7,398,768 |         0.0 | PushPop | :decode_step571_tokens4    |
|      0.1 |       7,390,288 |         1 |     7,390,288.0 |     7,390,288.0 |     7,390,288 |     7,390,288 |         0.0 | PushPop | :decode_step651_tokens4    |
|      0.1 |       7,231,216 |         1 |     7,231,216.0 |     7,231,216.0 |     7,231,216 |     7,231,216 |         0.0 | PushPop | :decode_step624_tokens4    |
|      0.1 |       7,145,872 |         1 |     7,145,872.0 |     7,145,872.0 |     7,145,872 |     7,145,872 |         0.0 | PushPop | :decode_step893_tokens4    |
|      0.1 |       7,048,400 |         1 |     7,048,400.0 |     7,048,400.0 |     7,048,400 |     7,048,400 |         0.0 | PushPop | :decode_step732_tokens4    |
|      0.1 |       6,758,480 |         1 |     6,758,480.0 |     6,758,480.0 |     6,758,480 |     6,758,480 |         0.0 | PushPop | :decode_step353_tokens4    |
|      0.1 |       6,456,336 |         1 |     6,456,336.0 |     6,456,336.0 |     6,456,336 |     6,456,336 |         0.0 | PushPop | :decode_step135_tokens4    |
|      0.1 |       6,333,040 |         1 |     6,333,040.0 |     6,333,040.0 |     6,333,040 |     6,333,040 |         0.0 | PushPop | :decode_step108_tokens4    |
|      0.1 |       6,213,568 |         1 |     6,213,568.0 |     6,213,568.0 |     6,213,568 |     6,213,568 |         0.0 | PushPop | :decode_step299_tokens4    |
|      0.1 |       6,130,480 |         1 |     6,130,480.0 |     6,130,480.0 |     6,130,480 |     6,130,480 |         0.0 | PushPop | :decode_step998_tokens4    |
|      0.1 |       5,616,384 |         1 |     5,616,384.0 |     5,616,384.0 |     5,616,384 |     5,616,384 |         0.0 | PushPop | :decode_step218_tokens4    |
|      0.1 |       5,601,984 |         1 |     5,601,984.0 |     5,601,984.0 |     5,601,984 |     5,601,984 |         0.0 | PushPop | :decode_step954_tokens4    |
|      0.1 |       5,486,000 |         1 |     5,486,000.0 |     5,486,000.0 |     5,486,000 |     5,486,000 |         0.0 | PushPop | :decode_step746_tokens4    |
|      0.1 |       5,471,728 |         1 |     5,471,728.0 |     5,471,728.0 |     5,471,728 |     5,471,728 |         0.0 | PushPop | :decode_step1017_tokens4   |
|      0.1 |       5,385,280 |         1 |     5,385,280.0 |     5,385,280.0 |     5,385,280 |     5,385,280 |         0.0 | PushPop | :decode_step54_tokens4     |
|      0.1 |       5,322,096 |         1 |     5,322,096.0 |     5,322,096.0 |     5,322,096 |     5,322,096 |         0.0 | PushPop | :decode_step290_tokens4    |
|      0.1 |       5,317,280 |         1 |     5,317,280.0 |     5,317,280.0 |     5,317,280 |     5,317,280 |         0.0 | PushPop | :decode_step1002_tokens4   |
|      0.1 |       5,280,544 |         1 |     5,280,544.0 |     5,280,544.0 |     5,280,544 |     5,280,544 |         0.0 | PushPop | :decode_step999_tokens4    |
|      0.1 |       5,214,944 |         1 |     5,214,944.0 |     5,214,944.0 |     5,214,944 |     5,214,944 |         0.0 | PushPop | :decode_step509_tokens4    |
|      0.1 |       5,170,384 |         1 |     5,170,384.0 |     5,170,384.0 |     5,170,384 |     5,170,384 |         0.0 | PushPop | :decode_step625_tokens4    |
|      0.1 |       5,165,936 |         1 |     5,165,936.0 |     5,165,936.0 |     5,165,936 |     5,165,936 |         0.0 | PushPop | :decode_step517_tokens4    |
|      0.1 |       5,092,480 |         1 |     5,092,480.0 |     5,092,480.0 |     5,092,480 |     5,092,480 |         0.0 | PushPop | :decode_step630_tokens4    |
|      0.1 |       5,085,952 |         1 |     5,085,952.0 |     5,085,952.0 |     5,085,952 |     5,085,952 |         0.0 | PushPop | :decode_step871_tokens4    |
|      0.1 |       5,055,008 |         1 |     5,055,008.0 |     5,055,008.0 |     5,055,008 |     5,055,008 |         0.0 | PushPop | :decode_step499_tokens4    |
|      0.1 |       5,051,600 |         1 |     5,051,600.0 |     5,051,600.0 |     5,051,600 |     5,051,600 |         0.0 | PushPop | :decode_step889_tokens4    |
|      0.1 |       5,046,528 |         1 |     5,046,528.0 |     5,046,528.0 |     5,046,528 |     5,046,528 |         0.0 | PushPop | :decode_step470_tokens4    |
|      0.1 |       5,041,808 |         1 |     5,041,808.0 |     5,041,808.0 |     5,041,808 |     5,041,808 |         0.0 | PushPop | :decode_step876_tokens4    |
|      0.1 |       5,032,256 |         1 |     5,032,256.0 |     5,032,256.0 |     5,032,256 |     5,032,256 |         0.0 | PushPop | :decode_step145_tokens4    |
|      0.1 |       5,028,528 |         1 |     5,028,528.0 |     5,028,528.0 |     5,028,528 |     5,028,528 |         0.0 | PushPop | :decode_step817_tokens4    |
|      0.1 |       5,027,440 |         1 |     5,027,440.0 |     5,027,440.0 |     5,027,440 |     5,027,440 |         0.0 | PushPop | :decode_step598_tokens4    |
|      0.1 |       5,014,816 |         1 |     5,014,816.0 |     5,014,816.0 |     5,014,816 |     5,014,816 |         0.0 | PushPop | :decode_step975_tokens4    |
|      0.1 |       5,004,208 |         1 |     5,004,208.0 |     5,004,208.0 |     5,004,208 |     5,004,208 |         0.0 | PushPop | :decode_step773_tokens4    |
|      0.1 |       4,990,384 |         1 |     4,990,384.0 |     4,990,384.0 |     4,990,384 |     4,990,384 |         0.0 | PushPop | :decode_step534_tokens4    |
|      0.1 |       4,985,184 |         1 |     4,985,184.0 |     4,985,184.0 |     4,985,184 |     4,985,184 |         0.0 | PushPop | :decode_step1016_tokens4   |
|      0.1 |       4,974,304 |         1 |     4,974,304.0 |     4,974,304.0 |     4,974,304 |     4,974,304 |         0.0 | PushPop | :decode_step743_tokens4    |
|      0.1 |       4,962,768 |         1 |     4,962,768.0 |     4,962,768.0 |     4,962,768 |     4,962,768 |         0.0 | PushPop | :decode_step1026_tokens4   |
|      0.1 |       4,957,904 |         1 |     4,957,904.0 |     4,957,904.0 |     4,957,904 |     4,957,904 |         0.0 | PushPop | :decode_step1031_tokens4   |
|      0.1 |       4,953,264 |         1 |     4,953,264.0 |     4,953,264.0 |     4,953,264 |     4,953,264 |         0.0 | PushPop | :decode_step448_tokens4    |
|      0.1 |       4,951,808 |         1 |     4,951,808.0 |     4,951,808.0 |     4,951,808 |     4,951,808 |         0.0 | PushPop | :decode_step958_tokens4    |
|      0.1 |       4,942,832 |         1 |     4,942,832.0 |     4,942,832.0 |     4,942,832 |     4,942,832 |         0.0 | PushPop | :decode_step874_tokens4    |
|      0.1 |       4,940,640 |         1 |     4,940,640.0 |     4,940,640.0 |     4,940,640 |     4,940,640 |         0.0 | PushPop | :decode_step390_tokens4    |
|      0.1 |       4,919,200 |         1 |     4,919,200.0 |     4,919,200.0 |     4,919,200 |     4,919,200 |         0.0 | PushPop | :decode_step959_tokens4    |
|      0.1 |       4,903,040 |         1 |     4,903,040.0 |     4,903,040.0 |     4,903,040 |     4,903,040 |         0.0 | PushPop | :decode_step140_tokens4    |
|      0.1 |       4,885,984 |         1 |     4,885,984.0 |     4,885,984.0 |     4,885,984 |     4,885,984 |         0.0 | PushPop | :decode_step951_tokens4    |
|      0.1 |       4,881,792 |         1 |     4,881,792.0 |     4,881,792.0 |     4,881,792 |     4,881,792 |         0.0 | PushPop | :decode_step819_tokens4    |
|      0.1 |       4,879,504 |         1 |     4,879,504.0 |     4,879,504.0 |     4,879,504 |     4,879,504 |         0.0 | PushPop | :decode_step982_tokens4    |
|      0.1 |       4,879,344 |         1 |     4,879,344.0 |     4,879,344.0 |     4,879,344 |     4,879,344 |         0.0 | PushPop | :decode_step843_tokens4    |
|      0.1 |       4,874,576 |         1 |     4,874,576.0 |     4,874,576.0 |     4,874,576 |     4,874,576 |         0.0 | PushPop | :decode_step471_tokens4    |
|      0.1 |       4,873,296 |         1 |     4,873,296.0 |     4,873,296.0 |     4,873,296 |     4,873,296 |         0.0 | PushPop | :decode_step597_tokens4    |
|      0.1 |       4,868,640 |         1 |     4,868,640.0 |     4,868,640.0 |     4,868,640 |     4,868,640 |         0.0 | PushPop | :decode_step688_tokens4    |
|      0.1 |       4,868,320 |         1 |     4,868,320.0 |     4,868,320.0 |     4,868,320 |     4,868,320 |         0.0 | PushPop | :decode_step590_tokens4    |
|      0.1 |       4,867,808 |         1 |     4,867,808.0 |     4,867,808.0 |     4,867,808 |     4,867,808 |         0.0 | PushPop | :decode_step963_tokens4    |
|      0.1 |       4,857,728 |         1 |     4,857,728.0 |     4,857,728.0 |     4,857,728 |     4,857,728 |         0.0 | PushPop | :decode_step789_tokens4    |
|      0.1 |       4,856,704 |         1 |     4,856,704.0 |     4,856,704.0 |     4,856,704 |     4,856,704 |         0.0 | PushPop | :decode_step1005_tokens4   |
|      0.1 |       4,855,632 |         1 |     4,855,632.0 |     4,855,632.0 |     4,855,632 |     4,855,632 |         0.0 | PushPop | :decode_step877_tokens4    |
|      0.1 |       4,852,528 |         1 |     4,852,528.0 |     4,852,528.0 |     4,852,528 |     4,852,528 |         0.0 | PushPop | :decode_step792_tokens4    |
|      0.1 |       4,843,840 |         1 |     4,843,840.0 |     4,843,840.0 |     4,843,840 |     4,843,840 |         0.0 | PushPop | :decode_step994_tokens4    |
|      0.1 |       4,837,248 |         1 |     4,837,248.0 |     4,837,248.0 |     4,837,248 |     4,837,248 |         0.0 | PushPop | :decode_step833_tokens4    |
|      0.1 |       4,819,696 |         1 |     4,819,696.0 |     4,819,696.0 |     4,819,696 |     4,819,696 |         0.0 | PushPop | :decode_step587_tokens4    |
|      0.1 |       4,817,728 |         1 |     4,817,728.0 |     4,817,728.0 |     4,817,728 |     4,817,728 |         0.0 | PushPop | :decode_step691_tokens4    |
|      0.1 |       4,816,256 |         1 |     4,816,256.0 |     4,816,256.0 |     4,816,256 |     4,816,256 |         0.0 | PushPop | :decode_step749_tokens4    |
|      0.1 |       4,812,768 |         1 |     4,812,768.0 |     4,812,768.0 |     4,812,768 |     4,812,768 |         0.0 | PushPop | :decode_step305_tokens4    |
|      0.1 |       4,812,752 |         1 |     4,812,752.0 |     4,812,752.0 |     4,812,752 |     4,812,752 |         0.0 | PushPop | :decode_step891_tokens4    |
|      0.1 |       4,808,496 |         1 |     4,808,496.0 |     4,808,496.0 |     4,808,496 |     4,808,496 |         0.0 | PushPop | :decode_step940_tokens4    |
|      0.1 |       4,807,328 |         1 |     4,807,328.0 |     4,807,328.0 |     4,807,328 |     4,807,328 |         0.0 | PushPop | :decode_step811_tokens4    |
|      0.1 |       4,805,840 |         1 |     4,805,840.0 |     4,805,840.0 |     4,805,840 |     4,805,840 |         0.0 | PushPop | :decode_step755_tokens4    |
|      0.1 |       4,795,440 |         1 |     4,795,440.0 |     4,795,440.0 |     4,795,440 |     4,795,440 |         0.0 | PushPop | :decode_step402_tokens4    |
|      0.1 |       4,793,168 |         1 |     4,793,168.0 |     4,793,168.0 |     4,793,168 |     4,793,168 |         0.0 | PushPop | :decode_step1011_tokens4   |
|      0.1 |       4,790,960 |         1 |     4,790,960.0 |     4,790,960.0 |     4,790,960 |     4,790,960 |         0.0 | PushPop | :decode_step791_tokens4    |
|      0.1 |       4,787,136 |         1 |     4,787,136.0 |     4,787,136.0 |     4,787,136 |     4,787,136 |         0.0 | PushPop | :decode_step821_tokens4    |
|      0.1 |       4,779,376 |         1 |     4,779,376.0 |     4,779,376.0 |     4,779,376 |     4,779,376 |         0.0 | PushPop | :decode_step582_tokens4    |
|      0.1 |       4,770,320 |         1 |     4,770,320.0 |     4,770,320.0 |     4,770,320 |     4,770,320 |         0.0 | PushPop | :decode_step854_tokens4    |
|      0.1 |       4,768,976 |         1 |     4,768,976.0 |     4,768,976.0 |     4,768,976 |     4,768,976 |         0.0 | PushPop | :decode_step395_tokens4    |
|      0.1 |       4,764,912 |         1 |     4,764,912.0 |     4,764,912.0 |     4,764,912 |     4,764,912 |         0.0 | PushPop | :decode_step834_tokens4    |
|      0.1 |       4,762,544 |         1 |     4,762,544.0 |     4,762,544.0 |     4,762,544 |     4,762,544 |         0.0 | PushPop | :decode_step838_tokens4    |
|      0.1 |       4,759,328 |         1 |     4,759,328.0 |     4,759,328.0 |     4,759,328 |     4,759,328 |         0.0 | PushPop | :decode_step753_tokens4    |
|      0.1 |       4,755,216 |         1 |     4,755,216.0 |     4,755,216.0 |     4,755,216 |     4,755,216 |         0.0 | PushPop | :decode_step977_tokens4    |
|      0.1 |       4,742,128 |         1 |     4,742,128.0 |     4,742,128.0 |     4,742,128 |     4,742,128 |         0.0 | PushPop | :decode_step252_tokens4    |
|      0.1 |       4,741,216 |         1 |     4,741,216.0 |     4,741,216.0 |     4,741,216 |     4,741,216 |         0.0 | PushPop | :decode_step141_tokens4    |
|      0.1 |       4,736,320 |         1 |     4,736,320.0 |     4,736,320.0 |     4,736,320 |     4,736,320 |         0.0 | PushPop | :decode_step696_tokens4    |
|      0.1 |       4,731,152 |         1 |     4,731,152.0 |     4,731,152.0 |     4,731,152 |     4,731,152 |         0.0 | PushPop | :decode_step849_tokens4    |
|      0.1 |       4,716,752 |         1 |     4,716,752.0 |     4,716,752.0 |     4,716,752 |     4,716,752 |         0.0 | PushPop | :decode_step979_tokens4    |
|      0.1 |       4,715,632 |         1 |     4,715,632.0 |     4,715,632.0 |     4,715,632 |     4,715,632 |         0.0 | PushPop | :decode_step453_tokens4    |
|      0.1 |       4,712,816 |         1 |     4,712,816.0 |     4,712,816.0 |     4,712,816 |     4,712,816 |         0.0 | PushPop | :decode_step473_tokens4    |
|      0.1 |       4,703,968 |         1 |     4,703,968.0 |     4,703,968.0 |     4,703,968 |     4,703,968 |         0.0 | PushPop | :decode_step196_tokens4    |
|      0.1 |       4,703,440 |         1 |     4,703,440.0 |     4,703,440.0 |     4,703,440 |     4,703,440 |         0.0 | PushPop | :decode_step694_tokens4    |
|      0.1 |       4,699,776 |         1 |     4,699,776.0 |     4,699,776.0 |     4,699,776 |     4,699,776 |         0.0 | PushPop | :decode_step1019_tokens4   |
|      0.1 |       4,692,560 |         1 |     4,692,560.0 |     4,692,560.0 |     4,692,560 |     4,692,560 |         0.0 | PushPop | :decode_step460_tokens4    |
|      0.1 |       4,691,888 |         1 |     4,691,888.0 |     4,691,888.0 |     4,691,888 |     4,691,888 |         0.0 | PushPop | :decode_step670_tokens4    |
|      0.1 |       4,687,360 |         1 |     4,687,360.0 |     4,687,360.0 |     4,687,360 |     4,687,360 |         0.0 | PushPop | :decode_step423_tokens4    |
|      0.1 |       4,687,216 |         1 |     4,687,216.0 |     4,687,216.0 |     4,687,216 |     4,687,216 |         0.0 | PushPop | :decode_step754_tokens4    |
|      0.1 |       4,677,600 |         1 |     4,677,600.0 |     4,677,600.0 |     4,677,600 |     4,677,600 |         0.0 | PushPop | :decode_step492_tokens4    |
|      0.1 |       4,675,632 |         1 |     4,675,632.0 |     4,675,632.0 |     4,675,632 |     4,675,632 |         0.0 | PushPop | :decode_step689_tokens4    |
