
NOTICE: Existing SQLite export found: nsys_reports/qwen3_fp8_v6.sqlite
        It is assumed file was previously exported from: nsys_reports/qwen3_fp8_v6.nsys-rep
        Consider using --force-export=true if needed.

Processing [nsys_reports/qwen3_fp8_v6.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-sbsa-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)   Style             Range           
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -----------  -------  --------------------------
     24.2      420,292,912          1  420,292,912.0  420,292,912.0  420,292,912  420,292,912          0.0  PushPop  :decode_step14_tokens49   
     20.8      361,246,864          1  361,246,864.0  361,246,864.0  361,246,864  361,246,864          0.0  PushPop  :prefill_step13_tokens2048
     18.3      318,345,392          1  318,345,392.0  318,345,392.0  318,345,392  318,345,392          0.0  PushPop  :prefill_step12_tokens2048
     14.7      255,819,888          1  255,819,888.0  255,819,888.0  255,819,888  255,819,888          0.0  PushPop  :prefill_step11_tokens2048
      2.3       39,243,728          1   39,243,728.0   39,243,728.0   39,243,728   39,243,728          0.0  PushPop  :decode_step141_tokens3   
      2.0       34,655,984          1   34,655,984.0   34,655,984.0   34,655,984   34,655,984          0.0  PushPop  :prefill_step10_tokens2048
      0.2        4,266,736          1    4,266,736.0    4,266,736.0    4,266,736    4,266,736          0.0  PushPop  :decode_step76_tokens4    
      0.2        4,219,280          1    4,219,280.0    4,219,280.0    4,219,280    4,219,280          0.0  PushPop  :decode_step20_tokens4    
      0.2        4,003,312          1    4,003,312.0    4,003,312.0    4,003,312    4,003,312          0.0  PushPop  :decode_step33_tokens4    
      0.2        3,961,824          1    3,961,824.0    3,961,824.0    3,961,824    3,961,824          0.0  PushPop  :decode_step92_tokens4    
      0.2        3,879,872          1    3,879,872.0    3,879,872.0    3,879,872    3,879,872          0.0  PushPop  :decode_step85_tokens4    
      0.2        3,795,264          1    3,795,264.0    3,795,264.0    3,795,264    3,795,264          0.0  PushPop  :decode_step105_tokens4   
      0.2        3,655,680          1    3,655,680.0    3,655,680.0    3,655,680    3,655,680          0.0  PushPop  :decode_step70_tokens4    
      0.2        3,486,000          1    3,486,000.0    3,486,000.0    3,486,000    3,486,000          0.0  PushPop  :decode_step15_tokens4    
      0.2        3,476,224          1    3,476,224.0    3,476,224.0    3,476,224    3,476,224          0.0  PushPop  :decode_step47_tokens4    
      0.2        3,359,904          1    3,359,904.0    3,359,904.0    3,359,904    3,359,904          0.0  PushPop  :decode_step17_tokens4    
      0.2        3,314,208          1    3,314,208.0    3,314,208.0    3,314,208    3,314,208          0.0  PushPop  :decode_step81_tokens4    
      0.2        3,204,256          1    3,204,256.0    3,204,256.0    3,204,256    3,204,256          0.0  PushPop  :decode_step16_tokens4    
      0.2        2,922,368          1    2,922,368.0    2,922,368.0    2,922,368    2,922,368          0.0  PushPop  :decode_step56_tokens4    
      0.2        2,901,072          1    2,901,072.0    2,901,072.0    2,901,072    2,901,072          0.0  PushPop  :decode_step71_tokens4    
      0.2        2,897,328          1    2,897,328.0    2,897,328.0    2,897,328    2,897,328          0.0  PushPop  :decode_step77_tokens4    
      0.2        2,879,504          1    2,879,504.0    2,879,504.0    2,879,504    2,879,504          0.0  PushPop  :decode_step57_tokens4    
      0.2        2,835,920          1    2,835,920.0    2,835,920.0    2,835,920    2,835,920          0.0  PushPop  :decode_step27_tokens4    
      0.2        2,805,344          1    2,805,344.0    2,805,344.0    2,805,344    2,805,344          0.0  PushPop  :decode_step96_tokens4    
      0.2        2,686,416          1    2,686,416.0    2,686,416.0    2,686,416    2,686,416          0.0  PushPop  :decode_step29_tokens4    
      0.2        2,663,392          1    2,663,392.0    2,663,392.0    2,663,392    2,663,392          0.0  PushPop  :decode_step78_tokens4    
      0.2        2,658,416          1    2,658,416.0    2,658,416.0    2,658,416    2,658,416          0.0  PushPop  :decode_step49_tokens4    
      0.2        2,650,192          1    2,650,192.0    2,650,192.0    2,650,192    2,650,192          0.0  PushPop  :decode_step88_tokens4    
      0.2        2,626,304          1    2,626,304.0    2,626,304.0    2,626,304    2,626,304          0.0  PushPop  :decode_step22_tokens4    
      0.1        2,548,080          1    2,548,080.0    2,548,080.0    2,548,080    2,548,080          0.0  PushPop  :decode_step18_tokens4    
      0.1        2,546,720          1    2,546,720.0    2,546,720.0    2,546,720    2,546,720          0.0  PushPop  :decode_step55_tokens4    
      0.1        2,528,240          1    2,528,240.0    2,528,240.0    2,528,240    2,528,240          0.0  PushPop  :decode_step60_tokens4    
      0.1        2,468,512          1    2,468,512.0    2,468,512.0    2,468,512    2,468,512          0.0  PushPop  :decode_step93_tokens4    
      0.1        2,467,392          1    2,467,392.0    2,467,392.0    2,467,392    2,467,392          0.0  PushPop  :decode_step74_tokens4    
      0.1        2,462,736          1    2,462,736.0    2,462,736.0    2,462,736    2,462,736          0.0  PushPop  :decode_step72_tokens4    
      0.1        2,445,616          1    2,445,616.0    2,445,616.0    2,445,616    2,445,616          0.0  PushPop  :decode_step58_tokens4    
      0.1        2,444,704          1    2,444,704.0    2,444,704.0    2,444,704    2,444,704          0.0  PushPop  :decode_step21_tokens4    
      0.1        2,439,872          1    2,439,872.0    2,439,872.0    2,439,872    2,439,872          0.0  PushPop  :decode_step19_tokens4    
      0.1        2,436,976          1    2,436,976.0    2,436,976.0    2,436,976    2,436,976          0.0  PushPop  :decode_step82_tokens4    
      0.1        2,410,928          1    2,410,928.0    2,410,928.0    2,410,928    2,410,928          0.0  PushPop  :decode_step23_tokens4    
      0.1        2,405,328          1    2,405,328.0    2,405,328.0    2,405,328    2,405,328          0.0  PushPop  :decode_step59_tokens4    
      0.1        2,401,552          1    2,401,552.0    2,401,552.0    2,401,552    2,401,552          0.0  PushPop  :decode_step115_tokens4   
      0.1        2,390,000          1    2,390,000.0    2,390,000.0    2,390,000    2,390,000          0.0  PushPop  :decode_step139_tokens4   
      0.1        2,379,568          1    2,379,568.0    2,379,568.0    2,379,568    2,379,568          0.0  PushPop  :decode_step89_tokens4    
      0.1        2,377,872          1    2,377,872.0    2,377,872.0    2,377,872    2,377,872          0.0  PushPop  :decode_step84_tokens4    
      0.1        2,369,776          1    2,369,776.0    2,369,776.0    2,369,776    2,369,776          0.0  PushPop  :decode_step91_tokens4    
      0.1        2,363,616          1    2,363,616.0    2,363,616.0    2,363,616    2,363,616          0.0  PushPop  :decode_step79_tokens4    
      0.1        2,360,160          1    2,360,160.0    2,360,160.0    2,360,160    2,360,160          0.0  PushPop  :decode_step65_tokens4    
