-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_4(4)         0.00%       0.000us         0.00%       0.000us       0.000us        9.136s        84.83%        9.136s      34.475ms           265  
                                      vllm::moe_forward        23.25%        2.727s        41.77%        4.900s     367.173us        4.017s        37.30%        5.582s     418.288us         13344  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us        4.017s        37.30%        4.017s     150.528us         26688  
                                _vllm_fa2_C::varlen_fwd         1.62%     189.476ms         7.08%     830.001ms      62.200us        2.372s        22.03%        2.753s     206.279us         13344  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        1.902s        17.66%        1.902s     149.500us         12720  
                                    Command Buffer Full        14.56%        1.708s        14.56%        1.708s     122.006us        1.824s        16.93%        1.824s     130.242us         14001  
                execute_context_1(2048)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        1.408s        13.08%        1.408s     352.103ms             4  
                                            aten::copy_         1.11%     130.371ms        10.94%        1.284s      22.554us        1.383s        12.84%        1.720s      30.227us         56910  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us        1.284s        11.93%        1.284s      94.287us         13621  
                                  _C::cutlass_scaled_mm         1.78%     208.763ms         4.82%     565.796ms      21.200us        1.279s        11.88%        1.445s      54.132us         26688  
void cutlass::device_kernel<vllm::cutlass_3x_gemm_fp...         0.00%       0.000us         0.00%       0.000us       0.000us        1.171s        10.88%        1.171s      44.536us         26304  
                                               aten::mm         1.62%     190.245ms         2.55%     299.418ms      21.980us     913.352ms         8.48%     926.570ms      68.020us         13622  
                  execute_context_3(48)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     803.834ms         7.46%     803.834ms     803.834ms             1  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     665.306ms         6.18%     665.306ms       2.501ms           266  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     414.680ms         3.85%     414.680ms       1.440ms           288  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     314.267ms         2.92%     314.267ms      44.895ms             7  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     199.215ms         1.85%     199.215ms      15.662us         12720  
                          _C::per_token_group_fp8_quant         0.78%      91.443ms         6.25%     732.693ms      13.727us     165.076ms         1.53%     197.615ms       3.702us         53376  
